windowSize,accuracy,fileID
0.02,0.9167709637046307,0
0.02,0.9329529243937232,1
0.02,0.927960057061341,2
0.02,0.9308005427408412,3
0.02,0.9239057239057239,4
0.02,0.9358582773365913,5
0.02,0.9243027888446215,6
0.02,0.930488644184446,7
0.02,0.9300998573466477,8
0.02,0.9300998573466477,9
0.02,0.927187708750835,10
0.02,0.927246790299572,11
0.02,0.9286733238231099,12
0.02,0.9261477045908184,13
0.02,0.9323867478025692,14
0.02,0.9078104993597952,15
0.02,0.9210031347962383,16
0.02,0.9347826086956522,17
0.02,0.927960057061341,18
0.02,0.9292517006802721,19
0.02,0.9293865905848787,20
0.02,0.9300998573466477,21
0.02,0.9225634178905207,22
0.02,0.9293865905848787,23
0.02,0.9339686861810755,24
0.02,0.9335124244459369,25
0.02,0.9320780094149294,26
0.02,0.9249832551908909,27
0.02,0.927246790299572,28
0.02,0.9283299526707235,29
0.02,0.9300746775288526,30
0.02,0.9314324507807196,31
0.02,0.9308474576271186,32
0.02,0.927916120576671,33
0.02,0.9336043360433605,34
0.02,0.8323095823095823,35
0.02,0.9274084124830394,36
0.02,0.9300998573466477,37
0.02,0.922192151556157,38
0.02,0.9300998573466477,39
0.02,0.9329226557152636,40
0.02,0.9315263908701854,41
0.02,0.9311989100817438,42
0.02,0.9320987654320988,43
0.02,0.9297297297297298,44
0.02,0.9305929919137467,45
0.02,0.9300998573466477,46
0.02,0.9247311827956989,47
0.022,0.9255685733976567,0
0.022,0.9293008641005499,1
0.022,0.9269442262372348,2
0.022,0.9282511210762332,3
0.022,0.9183976261127597,4
0.022,0.9347679892400808,5
0.022,0.9210526315789473,6
0.022,0.9242424242424242,7
0.022,0.9285153181461115,8
0.022,0.9285153181461115,9
0.022,0.9249448123620309,10
0.022,0.9300864100549883,11
0.022,0.9269442262372348,12
0.022,0.9194139194139194,13
0.022,0.9277736411020104,14
0.022,0.9083861874559549,15
0.022,0.919889502762431,16
0.022,0.9332849891225525,17
0.022,0.9245875883739199,18
0.022,0.9265917602996254,19
0.022,0.9277297721916732,20
0.022,0.9308719560094265,21
0.022,0.9243203526818515,22
0.022,0.9293008641005499,23
0.022,0.9325337331334332,24
0.022,0.9275147928994083,25
0.022,0.9296296296296296,26
0.022,0.9261992619926199,27
0.022,0.9261586802827966,28
0.022,0.924795234549516,29
0.022,0.9222139117427075,30
0.022,0.9289985052316891,31
0.022,0.9327856609410008,32
0.022,0.9292418772563177,33
0.022,0.9305970149253732,34
0.022,0.8262339418526031,35
0.022,0.9238237490664675,36
0.022,0.9269442262372348,37
0.022,0.9232488822652757,38
0.022,0.9285153181461115,39
0.022,0.9283559577677225,40
0.022,0.9245875883739199,41
0.022,0.9279819954988747,42
0.022,0.9327794561933535,43
0.022,0.9285714285714286,44
0.022,0.9265578635014837,45
0.022,0.9269442262372348,46
0.022,0.9252405625462621,47
0.024,0.9203007518796993,0
0.024,0.9314481576692374,1
0.024,0.9297343616109683,2
0.024,0.9315403422982885,3
0.024,0.9279935275080906,4
0.024,0.933969185619956,5
0.024,0.9258373205741627,6
0.024,0.928099173553719,7
0.024,0.9323050556983719,8
0.024,0.9331619537275064,9
0.024,0.9285714285714286,10
0.024,0.9314481576692374,11
0.024,0.9280205655526992,12
0.024,0.926458832933653,13
0.024,0.9317627944760357,14
0.024,0.9038461538461539,15
0.024,0.9216867469879518,16
0.024,0.9343354430379747,17
0.024,0.9323050556983719,18
0.024,0.9297385620915033,19
0.024,0.9254498714652957,20
0.024,0.9280205655526992,21
0.024,0.9286287089013633,22
0.024,0.9314481576692374,23
0.024,0.9337694194603434,24
0.024,0.9370967741935484,25
0.024,0.9361358124494745,26
0.024,0.9275945293644409,27
0.024,0.934018851756641,28
0.024,0.9301380991064175,29
0.024,0.9274061990212071,30
0.024,0.932300163132137,31
0.024,0.9315403422982885,32
0.024,0.9346456692913386,33
0.024,0.9324654190398698,34
0.024,0.8302583025830258,35
0.024,0.9290953545232273,36
0.024,0.9305912596401028,37
0.024,0.925264012997563,38
0.024,0.9314481576692374,39
0.024,0.9333881578947368,40
0.024,0.9305912596401028,41
0.024,0.936988543371522,42
0.024,0.9316309719934102,43
0.024,0.9318181818181818,44
0.024,0.9295546558704454,45
0.024,0.9297343616109683,46
0.024,0.9265536723163842,47
0.026,0.9233903830480847,0
0.026,0.9284386617100372,1
0.026,0.9284386617100372,2
0.026,0.9301503094606542,3
0.026,0.9201053555750659,4
0.026,0.933969769291965,5
0.026,0.9195501730103807,6
0.026,0.9282511210762332,7
0.026,0.9321561338289963,8
0.026,0.9256505576208178,9
0.026,0.9242819843342036,10
0.026,0.9275092936802974,11
0.026,0.9275092936802974,12
0.026,0.9220103986135182,13
0.026,0.9286343612334802,14
0.026,0.9090909090909091,15
0.026,0.9223856209150327,16
0.026,0.9339055793991416,17
0.026,0.9302973977695167,18
0.026,0.9273693534100974,19
0.026,0.929368029739777,20
0.026,0.9302973977695167,21
0.026,0.9260869565217391,22
0.026,0.929368029739777,23
0.026,0.9343389529724934,24
0.026,0.9326334208223972,25
0.026,0.9290096406660824,26
0.026,0.9197207678883071,27
0.026,0.9275092936802974,28
0.026,0.9286343612334802,29
0.026,0.9300884955752212,30
0.026,0.9274977895667551,31
0.026,0.9328621908127208,32
0.026,0.932536293766012,33
0.026,0.9355692850838482,34
0.026,0.8376,35
0.026,0.9213780918727915,36
0.026,0.9330855018587361,37
0.026,0.9198237885462555,38
0.026,0.9284386617100372,39
0.026,0.9304192685102587,40
0.026,0.9247211895910781,41
0.026,0.9316770186335404,42
0.026,0.9276139410187667,43
0.026,0.9286971830985915,44
0.026,0.9271290605794557,45
0.026,0.929368029739777,46
0.026,0.9299474605954466,47
0.028,0.9184210526315789,0
0.028,0.917,1
0.028,0.926,2
0.028,0.9219790675547098,3
0.028,0.9197355996222851,4
0.028,0.9332191780821918,5
0.028,0.9180633147113594,6
0.028,0.9218146718146718,7
0.028,0.926,8
0.028,0.923,9
0.028,0.9203373945641987,10
0.028,0.922,11
0.028,0.922,12
0.028,0.9197761194029851,13
0.028,0.9203791469194312,14
0.028,0.9066427289048474,15
0.028,0.9191564147627417,16
0.028,0.9270544783010157,17
0.028,0.924,18
0.028,0.9227836034318398,19
0.028,0.924,20
0.028,0.925,21
0.028,0.921421889616464,22
0.028,0.92,23
0.028,0.9265267175572519,24
0.028,0.928436911487759,25
0.028,0.9273584905660377,26
0.028,0.9192488262910798,27
0.028,0.923,28
0.028,0.9213270142180094,29
0.028,0.922930542340628,30
0.028,0.9219790675547098,31
0.028,0.9306083650190115,32
0.028,0.9237132352941176,33
0.028,0.9259259259259259,34
0.028,0.8285960378983634,35
0.028,0.9182509505703422,36
0.028,0.924,37
0.028,0.9184060721062619,38
0.028,0.923,39
0.028,0.9232245681381958,40
0.028,0.924,41
0.028,0.9302769818529131,42
0.028,0.9278846153846154,43
0.028,0.9203791469194312,44
0.028,0.9234404536862004,45
0.028,0.92,46
0.028,0.9255419415645617,47
0.03,0.9190968955785512,0
0.03,0.9195278969957081,1
0.03,0.9238197424892703,2
0.03,0.9193877551020408,3
0.03,0.9148936170212766,4
0.03,0.9302112029384757,5
0.03,0.9140859140859141,6
0.03,0.9202898550724637,7
0.03,0.9206008583690987,8
0.03,0.9238197424892703,9
0.03,0.9195979899497487,10
0.03,0.9206008583690987,11
0.03,0.9206008583690987,12
0.03,0.9159159159159159,13
0.03,0.9237029501525941,14
0.03,0.9008662175168431,15
0.03,0.9207547169811321,16
0.03,0.9266600594648167,17
0.03,0.9227467811158798,18
0.03,0.9212678936605317,19
0.03,0.9216738197424893,20
0.03,0.9216738197424893,21
0.03,0.9226907630522089,22
0.03,0.9184549356223176,23
0.03,0.9242579324462641,24
0.03,0.9222222222222223,25
0.03,0.917004048582996,26
0.03,0.9203629032258065,27
0.03,0.9227467811158798,28
0.03,0.9165818921668362,29
0.03,0.9203268641470889,30
0.03,0.9193054136874361,31
0.03,0.9275510204081633,32
0.03,0.9250493096646942,33
0.03,0.9276248725790011,34
0.03,0.8328716528162512,35
0.03,0.9204081632653062,36
0.03,0.9238197424892703,37
0.03,0.9145473041709054,38
0.03,0.9227467811158798,39
0.03,0.925849639546859,40
0.03,0.9206008583690987,41
0.03,0.9241803278688525,42
0.03,0.9195046439628483,43
0.03,0.9197154471544715,44
0.03,0.9240121580547113,45
0.03,0.9206008583690987,46
0.03,0.917087967644085,47
0.032,0.9176706827309237,0
0.032,0.919908466819222,1
0.032,0.9233409610983981,2
0.032,0.9205658324265505,3
0.032,0.918918918918919,4
0.032,0.9343780607247796,5
0.032,0.9137380191693291,6
0.032,0.9205298013245033,7
0.032,0.9244851258581236,8
0.032,0.9221967963386728,9
0.032,0.9217577706323687,10
0.032,0.9233409610983981,11
0.032,0.919908466819222,12
0.032,0.9156883671291356,13
0.032,0.9229934924078091,14
0.032,0.9065708418891171,15
0.032,0.920523138832998,16
0.032,0.925026399155227,17
0.032,0.9221967963386728,18
0.032,0.9269356597600873,19
0.032,0.9210526315789473,20
0.032,0.9221967963386728,21
0.032,0.917558886509636,22
0.032,0.9221967963386728,23
0.032,0.925764192139738,24
0.032,0.9234913793103449,25
0.032,0.9223300970873787,26
0.032,0.9183673469387755,27
0.032,0.9244851258581236,28
0.032,0.9251626898047722,29
0.032,0.9183006535947712,30
0.032,0.9226579520697168,31
0.032,0.926006528835691,32
0.032,0.9274447949526814,33
0.032,0.9239130434782609,34
0.032,0.8266009852216749,35
0.032,0.9238302502720348,36
0.032,0.9244851258581236,37
0.032,0.9197396963123644,38
0.032,0.9256292906178489,39
0.032,0.9252747252747253,40
0.032,0.9244851258581236,41
0.032,0.9202185792349726,42
0.032,0.9240924092409241,43
0.032,0.9229934924078091,44
0.032,0.9221621621621622,45
0.032,0.9267734553775744,46
0.032,0.9202586206896551,47
0.034,0.905982905982906,0
0.034,0.9074299634591961,1
0.034,0.9123020706455542,2
0.034,0.9142526071842411,3
0.034,0.903337169159954,4
0.034,0.9165797705943691,5
0.034,0.8979591836734694,6
0.034,0.9106933019976499,7
0.034,0.9098660170523751,8
0.034,0.9098660170523751,9
0.034,0.910958904109589,10
0.034,0.9074299634591961,11
0.034,0.9110840438489647,12
0.034,0.9056818181818181,13
0.034,0.9133949191685913,14
0.034,0.9005464480874317,15
0.034,0.9164882226980728,16
0.034,0.9122609673790776,17
0.034,0.9086479902557856,18
0.034,0.9128919860627178,19
0.034,0.9098660170523751,20
0.034,0.9123020706455542,21
0.034,0.908883826879271,22
0.034,0.9074299634591961,23
0.034,0.9104651162790698,24
0.034,0.9139908256880734,25
0.034,0.9081515499425947,26
0.034,0.9004576659038902,27
0.034,0.9074299634591961,28
0.034,0.9030023094688222,29
0.034,0.9107763615295481,30
0.034,0.9084588644264194,31
0.034,0.9142526071842411,32
0.034,0.9182530795072789,33
0.034,0.9131944444444444,34
0.034,0.8207547169811321,35
0.034,0.9119351100811124,36
0.034,0.9110840438489647,37
0.034,0.9064665127020786,38
0.034,0.9098660170523751,39
0.034,0.9099415204678363,40
0.034,0.9135200974421437,41
0.034,0.913953488372093,42
0.034,0.9074941451990632,43
0.034,0.9041570438799076,44
0.034,0.9079401611047181,45
0.034,0.9098660170523751,46
0.034,0.9092996555683123,47
0.036,0.9163841807909604,0
0.036,0.9201030927835051,1
0.036,0.9162371134020618,2
0.036,0.9227941176470589,3
0.036,0.916058394160584,4
0.036,0.9327453142227122,5
0.036,0.9136690647482014,6
0.036,0.9203980099502488,7
0.036,0.9226804123711341,8
0.036,0.9226804123711341,9
0.036,0.9178743961352657,10
0.036,0.9188144329896907,11
0.036,0.9213917525773195,12
0.036,0.9122596153846154,13
0.036,0.9229828850855746,14
0.036,0.9075144508670521,15
0.036,0.9173272933182333,16
0.036,0.919047619047619,17
0.036,0.9201030927835051,18
0.036,0.9226044226044227,19
0.036,0.9213917525773195,20
0.036,0.9226804123711341,21
0.036,0.9215922798552473,22
0.036,0.9188144329896907,23
0.036,0.9212792127921279,24
0.036,0.9235436893203883,25
0.036,0.9234507897934386,26
0.036,0.9176755447941889,27
0.036,0.9149484536082474,28
0.036,0.9157509157509157,29
0.036,0.9226993865030675,30
0.036,0.9227941176470589,31
0.036,0.9227941176470589,32
0.036,0.9241706161137441,33
0.036,0.9265605875152999,34
0.036,0.8292682926829268,35
0.036,0.9252450980392157,36
0.036,0.9226804123711341,37
0.036,0.9119804400977995,38
0.036,0.9226804123711341,39
0.036,0.9170792079207921,40
0.036,0.9226804123711341,41
0.036,0.9249692496924969,42
0.036,0.9244114002478315,43
0.036,0.9218559218559218,44
0.036,0.9183922046285018,45
0.036,0.9213917525773195,46
0.036,0.9199029126213593,47
0.038,0.9068100358422939,0
0.038,0.9168937329700273,1
0.038,0.9182561307901907,2
0.038,0.9130998702983139,3
0.038,0.9111969111969112,4
0.038,0.9207459207459208,5
0.038,0.9062103929024081,6
0.038,0.9093298291721419,7
0.038,0.9182561307901907,8
0.038,0.9168937329700273,9
0.038,0.9132653061224489,10
0.038,0.9182561307901907,11
0.038,0.9168937329700273,12
0.038,0.9135959339263025,13
0.038,0.917312661498708,14
0.038,0.8960880195599022,15
0.038,0.9077844311377246,16
0.038,0.9207547169811321,17
0.038,0.9155313351498637,18
0.038,0.9142857142857143,19
0.038,0.9196185286103542,20
0.038,0.9182561307901907,21
0.038,0.913375796178344,22
0.038,0.9168937329700273,23
0.038,0.9193758127438232,24
0.038,0.9192307692307692,25
0.038,0.9215938303341902,26
0.038,0.9040920716112532,27
0.038,0.9168937329700273,28
0.038,0.9108527131782945,29
0.038,0.9169909208819714,30
0.038,0.920881971465629,31
0.038,0.9183937823834197,32
0.038,0.9236545682102628,33
0.038,0.9172056921086675,34
0.038,0.8229777256740914,35
0.038,0.9183937823834197,36
0.038,0.9196185286103542,37
0.038,0.9108527131782945,38
0.038,0.9141689373297003,39
0.038,0.9215686274509803,40
